	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../midterm/ReplicateMcCoy/models/bert_00	contradiction	1.0	0.8666247247562127	0.9285473542298618	1.0	0.8666247247562127	0.9285473542298618	0.8666247247562127
1	../midterm/ReplicateMcCoy/models/bert_00	entailment	1.0	0.8297006684103458	0.9069250317662008	1.0	0.8297006684103458	0.9069250317662008	0.8297006684103458
2	../midterm/ReplicateMcCoy/models/bert_00	neutral	1.0	0.8274078862314156	0.905553590378493	1.0	0.8274078862314156	0.905553590378493	0.8274078862314156
3	../midterm/ReplicateMcCoy/models/bert_01	contradiction	1.0	0.8619062598301352	0.9258320662274032	1.0	0.8619062598301352	0.9258320662274032	0.8619062598301352
4	../midterm/ReplicateMcCoy/models/bert_01	entailment	1.0	0.8297006684103458	0.9069250317662008	1.0	0.8297006684103458	0.9069250317662008	0.8297006684103458
5	../midterm/ReplicateMcCoy/models/bert_01	neutral	1.0	0.8241758241758241	0.9036144578313253	1.0	0.8241758241758241	0.9036144578313253	0.8241758241758241
6	../midterm/ReplicateMcCoy/models/bert_02	contradiction	1.0	0.8666247247562127	0.9285473542298618	1.0	0.8666247247562127	0.9285473542298618	0.8666247247562127
7	../midterm/ReplicateMcCoy/models/bert_02	entailment	1.0	0.8311537343795409	0.9077924139025553	1.0	0.8311537343795409	0.9077924139025553	0.8311537343795409
8	../midterm/ReplicateMcCoy/models/bert_02	neutral	1.0	0.8270846800258564	0.9053599858482222	1.0	0.8270846800258564	0.9053599858482222	0.8270846800258564
9	../midterm/ReplicateMcCoy/models/bert_03	contradiction	1.0	0.8650519031141869	0.927643784786642	1.0	0.8650519031141869	0.927643784786642	0.8650519031141869
10	../midterm/ReplicateMcCoy/models/bert_03	entailment	1.0	0.8253414705027609	0.9043145995860532	1.0	0.8253414705027609	0.9043145995860532	0.8253414705027609
11	../midterm/ReplicateMcCoy/models/bert_03	neutral	1.0	0.8167420814479638	0.8991282689912827	1.0	0.8167420814479638	0.8991282689912827	0.8167420814479638
12	../midterm/ReplicateMcCoy/models/bert_04	contradiction	1.0	0.8703994966970745	0.9307097208207198	1.0	0.8703994966970745	0.9307097208207198	0.8703994966970745
13	../midterm/ReplicateMcCoy/models/bert_04	entailment	1.0	0.8349317058994479	0.9100411783338613	1.0	0.8349317058994479	0.9100411783338613	0.8349317058994479
14	../midterm/ReplicateMcCoy/models/bert_04	neutral	1.0	0.8122171945701357	0.8963795255930087	1.0	0.8122171945701357	0.8963795255930087	0.8122171945701357
15	../midterm/ReplicateMcCoy/models/bert_05	contradiction	1.0	0.8615916955017301	0.9256505576208178	1.0	0.8615916955017301	0.9256505576208178	0.8615916955017301
16	../midterm/ReplicateMcCoy/models/bert_05	entailment	1.0	0.8285382156349899	0.9062301335028607	1.0	0.8285382156349899	0.9062301335028607	0.8285382156349899
17	../midterm/ReplicateMcCoy/models/bert_05	neutral	1.0	0.8212669683257918	0.901863354037267	1.0	0.8212669683257918	0.901863354037267	0.8212669683257918
18	../midterm/ReplicateMcCoy/models/bert_06	contradiction	1.0	0.859389745202894	0.9243782777871765	1.0	0.859389745202894	0.9243782777871765	0.859389745202894
19	../midterm/ReplicateMcCoy/models/bert_06	entailment	1.0	0.8270851496657948	0.9053602672180691	1.0	0.8270851496657948	0.9053602672180691	0.8270851496657948
20	../midterm/ReplicateMcCoy/models/bert_06	neutral	1.0	0.830316742081448	0.907292954264524	1.0	0.830316742081448	0.907292954264524	0.830316742081448
21	../midterm/ReplicateMcCoy/models/bert_07	contradiction	1.0	0.8659955960994024	0.928186109238031	1.0	0.8659955960994024	0.928186109238031	0.8659955960994024
