	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../midterm/ReplicateMcCoy/models/bert_00	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	../midterm/ReplicateMcCoy/models/bert_00	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	../midterm/ReplicateMcCoy/models/bert_00	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	../midterm/ReplicateMcCoy/models/bert_01	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	../midterm/ReplicateMcCoy/models/bert_01	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	../midterm/ReplicateMcCoy/models/bert_01	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	../midterm/ReplicateMcCoy/models/bert_02	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	../midterm/ReplicateMcCoy/models/bert_02	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	../midterm/ReplicateMcCoy/models/bert_02	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	../midterm/ReplicateMcCoy/models/bert_03	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	../midterm/ReplicateMcCoy/models/bert_03	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	../midterm/ReplicateMcCoy/models/bert_03	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	../midterm/ReplicateMcCoy/models/bert_04	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	../midterm/ReplicateMcCoy/models/bert_04	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	../midterm/ReplicateMcCoy/models/bert_04	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	../midterm/ReplicateMcCoy/models/bert_05	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	../midterm/ReplicateMcCoy/models/bert_05	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	../midterm/ReplicateMcCoy/models/bert_05	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	../midterm/ReplicateMcCoy/models/bert_06	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	../midterm/ReplicateMcCoy/models/bert_06	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	../midterm/ReplicateMcCoy/models/bert_06	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	../midterm/ReplicateMcCoy/models/bert_07	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	../midterm/ReplicateMcCoy/models/bert_07	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	../midterm/ReplicateMcCoy/models/bert_07	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	../midterm/ReplicateMcCoy/models/bert_08	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	../midterm/ReplicateMcCoy/models/bert_08	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	../midterm/ReplicateMcCoy/models/bert_08	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	../midterm/ReplicateMcCoy/models/bert_09	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	../midterm/ReplicateMcCoy/models/bert_09	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	../midterm/ReplicateMcCoy/models/bert_09	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	../midterm/ReplicateMcCoy/models/bert_10	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	../midterm/ReplicateMcCoy/models/bert_10	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	../midterm/ReplicateMcCoy/models/bert_10	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	../midterm/ReplicateMcCoy/models/bert_11	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	../midterm/ReplicateMcCoy/models/bert_11	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	../midterm/ReplicateMcCoy/models/bert_11	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	../midterm/ReplicateMcCoy/models/bert_12	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	../midterm/ReplicateMcCoy/models/bert_12	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	../midterm/ReplicateMcCoy/models/bert_12	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	../midterm/ReplicateMcCoy/models/bert_13	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	../midterm/ReplicateMcCoy/models/bert_13	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	../midterm/ReplicateMcCoy/models/bert_13	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	../midterm/ReplicateMcCoy/models/bert_14	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	../midterm/ReplicateMcCoy/models/bert_14	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	../midterm/ReplicateMcCoy/models/bert_14	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	../midterm/ReplicateMcCoy/models/bert_15	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	../midterm/ReplicateMcCoy/models/bert_15	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	../midterm/ReplicateMcCoy/models/bert_15	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	../midterm/ReplicateMcCoy/models/bert_16	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	../midterm/ReplicateMcCoy/models/bert_16	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	../midterm/ReplicateMcCoy/models/bert_16	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	../midterm/ReplicateMcCoy/models/bert_17	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	../midterm/ReplicateMcCoy/models/bert_17	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	../midterm/ReplicateMcCoy/models/bert_17	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	../midterm/ReplicateMcCoy/models/bert_18	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	../midterm/ReplicateMcCoy/models/bert_18	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	../midterm/ReplicateMcCoy/models/bert_18	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	../midterm/ReplicateMcCoy/models/bert_19	contradiction	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	../midterm/ReplicateMcCoy/models/bert_19	entailment	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	../midterm/ReplicateMcCoy/models/bert_19	neutral	0.0	0.0	0.0	0.0	0.0	0.0	0.0
